,Film,Eigenvector Centrality,Country,tconst,Year
359,Fantastic Voyage (1966),5.637765478596207e-09,USA,tt0060397,1966
360,Rope (1948),5.57022553107747e-09,USA,tt0040746,1948
361,Anna Karenina (1935),5.566904234258901e-09,USA,tt0026071,1935
362,Vera Cruz (1954),5.549799915481075e-09,USA,tt0047647,1954
363,What Ever Happened to Baby Jane? (1962),5.5345816523142365e-09,USA,tt0056687,1962
364,Red River (1948),5.508750762630043e-09,USA,tt0040724,1948
365,Notorious (1946),5.500010202156538e-09,USA,tt0038787,1946
366,The Curse of the Cat People (1944),5.4998541792398125e-09,USA,tt0036733,1944
367,Lifeboat (1944),5.460489141864129e-09,USA,tt0037017,1944
368,Gypsy (1962),5.419314928095145e-09,USA,tt0056048,1962
369,Parachute Jumper (1933),5.419287606899825e-09,USA,tt0024426,1933
370,Ex-Lady (1933),5.419287606899825e-09,USA,tt0023993,1933
371,Forbidden Planet (1956),5.4096370516786905e-09,USA,tt0049223,1956
372,Dirty Harry (1971),5.3567799047229645e-09,USA,tt0066999,1971
373,The Zodiac Killer (1971),5.334585118657007e-09,USA,tt0143016,1971
374,Umi no wakadaishô (1965),5.307269596567937e-09,Japan,tt0316828,1965
375,Little Big Man (1970),5.278921746679215e-09,USA,tt0065988,1970
376,WUSA (1970),5.262507097341539e-09,USA,tt0066540,1970
377,Tiger Rose (1923),5.241761742935738e-09,USA,tt0014547,1923
378,The Only Woman (1924),5.241761742935738e-09,USA,tt0015199,1924
379,The Lost City (1920),5.241761742935738e-09,USA,tt0011413,1920
380,Why Girls Leave Home (1921),5.241761742935738e-09,USA,tt0012846,1921
381,Open Your Eyes (1919),5.241761742935738e-09,USA,tt0010532,1919
382,Alice in Wonderland (1951),5.23108876762706e-09,USA,tt0043274,1951
383,The Graduate (1967),5.164970625913827e-09,USA,tt0061722,1967
384,They Died with Their Boots On (1941),5.143300142006e-09,USA,tt0034277,1941
385,The Perils of Pauline (1914),5.061023448165866e-09,USA,tt0004465,1914
386,A Streetcar Named Desire (1951),5.058868235784899e-09,USA,tt0044081,1951
387,5 Against the House (1955),4.958392622895229e-09,USA,tt0048077,1955
388,Ereki no wakadaishô (1965),4.893643869809405e-09,Japan,tt0059151,1965
389,Duck Soup (1933),4.87214502001513e-09,USA,tt0023969,1933
390,Sisters (1972),4.705453657279463e-09,USA,tt0070698,1972
391,The Forgotten (1973),4.682332294741945e-09,USA,tt0069994,1973
392,Rio Bravo (1959),4.604829766764647e-09,USA,tt0053221,1959
393,The Saint Strikes Back (1939),4.590290882492564e-09,USA,tt0031890,1939
394,Seven Years Bad Luck (1921),4.587821883628603e-09,USA,tt0127834,1921
395,Angels in Disguise (1949),4.492209931621006e-09,USA,tt0041124,1949
396,Banshun (1949),4.467543986169584e-09,Japan,tt0041154,1949
397,In Old Colorado (1941),4.416416678303812e-09,USA,tt0033753,1941
398,Overland Stage Raiders (1938),4.384637982609159e-09,USA,tt0030545,1938
399,Shachô taiheiki (1959),4.384637980779528e-09,Japan,tt0314654,1959
400,Otoko wa tsurai yo: Torajiro aiaigasa (1975),4.3846379807795135e-09,Japan,tt0073498,1975
401,Swedish Erotica 32 (1981),4.384637980779513e-09,USA,tt0224197,1981
402,The Pride of the Yankees (1942),4.381759982027816e-09,USA,tt0035211,1942
403,"Gojira, Ebirâ, Mosura: Nankai no daiketto (1966)",4.363196409133006e-09,Japan,tt0060464,1966
404,Gentlemen Prefer Blondes (1953),4.328340850204635e-09,USA,tt0045810,1953
405,The African Queen (1951),4.327218659443165e-09,USA,tt0043265,1951
406,Ladies in Love (1936),4.327051139386681e-09,USA,tt0027860,1936
407,How to Marry a Millionaire (1953),4.310678832409299e-09,USA,tt0045891,1953
408,Flame and the Flesh (1954),4.309527590920869e-09,USA,tt0046982,1954
409,Beachhead (1954),4.309527590920869e-09,USA,tt0046757,1954
410,Svengali (1931),4.305485566785631e-09,USA,tt0022454,1931
411,Lady of Burlesque (1943),4.286281232735398e-09,USA,tt0036094,1943
412,Killer's Kiss (1955),4.252351398912927e-09,USA,tt0048254,1955
413,The Mark of Zorro (1920),4.249477943829889e-09,USA,tt0011439,1920
414,Terror House (1972),4.249261061118331e-09,USA,tt0069362,1972
415,The Wizard of Gore (1970),4.2491390412683445e-09,USA,tt0066578,1970
416,Deep Throat (1972),4.20297602310089e-09,USA,tt0068468,1972
417,Cocoanut Grove (1938),4.1709989067387785e-09,USA,tt0030000,1938
418,The Texas Chain Saw Massacre (1974),4.16940441251923e-09,USA,tt0072271,1974
419,Beach Blanket Bingo (1965),4.161717809472422e-09,USA,tt0058953,1965
420,Aroused (1966),4.149577249554669e-09,USA,tt0060127,1966
421,Heart of the West (1936),4.119730343434633e-09,USA,tt0027725,1936
422,Broadway Melody of 1936 (1935),4.099380000221369e-09,USA,tt0026144,1935
423,Written on the Wind (1956),4.03766666058817e-09,USA,tt0049966,1956
424,"Think Fast, Mr. Moto (1937)",4.000960221665866e-09,USA,tt0029660,1937
425,Dr. Kildare Goes Home (1940),3.942331610603019e-09,USA,tt0032414,1940
426,A Star Is Born (1954),3.9418532248673556e-09,USA,tt0047522,1954
427,Sergeant York (1941),3.932323897891073e-09,USA,tt0034167,1941
428,A Star Is Born (1937),3.9320426136869395e-09,USA,tt0029606,1937
429,Mr. Peabody and the Mermaid (1948),3.904286134089692e-09,USA,tt0040614,1948
430,The Dirty Dozen (1967),3.885998644183069e-09,USA,tt0061578,1967
431,Morning Glory (1933),3.85736449480278e-09,USA,tt0024353,1933
432,The Charge at Feather River (1953),3.843302157875456e-09,USA,tt0045621,1953
433,An American in Paris (1951),3.840682948829931e-09,USA,tt0043278,1951
434,Black Christmas (1974),3.7901285330034914e-09,USA,tt0071222,1974
435,THX 1138 (1971),3.774484632062589e-09,USA,tt0066434,1971
436,Dial M for Murder (1954),3.773348390552073e-09,USA,tt0046912,1954
437,The Magnificent Seven (1960),3.75632387985789e-09,USA,tt0054047,1960
438,Maytime (1937),3.7523153448679935e-09,USA,tt0029222,1937
439,The Garden of Allah (1936),3.7523153448679935e-09,USA,tt0027657,1936
440,Okasareta hakui (1967),3.7329218065325945e-09,Japan,tt0062069,1967
441,Dance of the Vampires (1967),3.732534238872238e-09,USA,tt0061655,1967
442,The Severed Arm (1973),3.731160539996043e-09,USA,tt0070673,1973
443,White Christmas (1954),3.730585600485554e-09,USA,tt0047673,1954
444,Who's Afraid of Virginia Woolf? (1966),3.730576694347151e-09,USA,tt0061184,1966
445,"Sorry, Wrong Number (1948)",3.730482725833321e-09,USA,tt0040823,1948
446,Images (1972),3.73041645530115e-09,USA,tt0068732,1972
447,The Spiral Staircase (1946),3.730410489384318e-09,USA,tt0038975,1946
448,I Saw What You Did (1965),3.7304102525457826e-09,USA,tt0059297,1965
449,Secret Beyond the Door... (1947),3.7304102524852114e-09,USA,tt0040766,1947
450,Don't Hang Up (1974),3.7304102524852114e-09,USA,tt0080648,1974
451,In Old Chicago (1937),3.6717306514582047e-09,USA,tt0029047,1937
452,Nanook of the North (1922),3.647478294905609e-09,USA,tt0013427,1922
453,Holiday Inn (1942),3.6440480637532635e-09,USA,tt0034862,1942
454,Beyond the Forest (1949),3.644035532962458e-09,USA,tt0041172,1949
455,Sudden Fear (1952),3.644035532962458e-09,USA,tt0045205,1952
456,The Kiss (1914),3.643820675355268e-09,USA,tt0006900,1914
457,Olga's House of Shame (1964),3.641934167745137e-09,USA,tt0126562,1964
458,Foreign Correspondent (1940),3.6148377212645744e-09,USA,tt0032484,1940
459,Zatôichi monogatari (1962),3.6119549623588324e-09,Japan,tt0056714,1962
460,The Wild Bunch (1969),3.5631263833168825e-09,USA,tt0065214,1969
461,Lasca of the Rio Grande (1931),3.5326106156559474e-09,USA,tt0022053,1931
462,Flaming Guns (1932),3.5326106156559474e-09,USA,tt0022896,1932
463,The Pink Panther (1963),3.527676291969572e-09,USA,tt0057413,1963
464,Swing Time (1936),3.5238378191464848e-09,USA,tt0028333,1936
465,Maytime (1923),3.4926158358775746e-09,USA,tt0014264,1923
466,It Happened One Night (1934),3.3922773590710944e-09,USA,tt0025316,1934
467,Winchester '73 (1950),3.2877493785602513e-09,USA,tt0043137,1950
468,Shane (1953),3.2678177836787576e-09,USA,tt0046303,1953
469,Lawrence of Arabia (1962),3.1910085609881296e-09,USA,tt0056172,1962
470,The Thomas Crown Affair (1968),3.1691087152810803e-09,USA,tt0063688,1968
471,The Public Enemy (1931),3.1543400128346838e-09,USA,tt0022286,1931
472,Black Magic (1944),3.129068910881662e-09,USA,tt0036705,1944
473,Doctor Dolittle (1967),3.0965530204189122e-09,USA,tt0061584,1967
474,The Italian (1915),3.090793647206563e-09,USA,tt0005557,1915
475,The King and I (1956),3.0769479974390683e-09,USA,tt0049408,1956
476,George Washington Slept Here (1942),3.072389904620699e-09,USA,tt0034780,1942
477,Wabash Avenue (1950),3.0723872914581284e-09,USA,tt0043116,1950
478,The Man Who Came to Dinner (1942),3.067405660918074e-09,USA,tt0033874,1942
479,Coney Island (1943),3.067375615763083e-09,USA,tt0035749,1943
480,Andy Hardy Gets Spring Fever (1939),3.0555336047353373e-09,USA,tt0031043,1939
481,The Alamo (1960),3.0415610015182734e-09,USA,tt0053580,1960
482,Hud (1963),3.0295410481836654e-09,USA,tt0057163,1963
483,The Legend of Lylah Clare (1968),3.029520786280083e-09,USA,tt0063219,1968
484,Tarzan and the Valley of Gold (1966),3.0295207862777763e-09,USA,tt0061067,1966
485,Chôhen kaijû eiga: Urutoraman (1967),3.029520786277773e-09,Japan,tt0204714,1967
486,The Notorious Daughter of Fanny Hill (1966),3.029520786277773e-09,USA,tt0060761,1966
487,Justine (1967),3.029520786277773e-09,USA,tt0137859,1967
488,Dark Victory (1939),3.029520786277773e-09,USA,tt0031210,1939
489,The Twisted Sex (1966),3.029520786277773e-09,USA,tt0260453,1966
490,Rhapsody in Blue (1945),3.029520786277773e-09,USA,tt0038026,1945
491,My Hustler (1965),3.029520786277773e-09,USA,tt0062016,1965
492,The Hell with Heroes (1968),3.029520786277773e-09,USA,tt0063057,1968
493,Three Coins in the Fountain (1954),3.02724150464583e-09,USA,tt0047580,1954
494,The Best of Everything (1959),3.027182781999532e-09,USA,tt0052619,1959
495,The Helen Morgan Story (1957),3.0271827819993487e-09,USA,tt0050494,1957
496,The Girl Can't Help It (1956),3.024637047397222e-09,USA,tt0049263,1956
497,Midnight Cowboy (1969),3.0232433757921307e-09,USA,tt0064665,1969
498,Pinocchio (1940),3.0219568821952066e-09,USA,tt0032910,1940
499,Valley of the Dolls (1967),3.021423580448175e-09,USA,tt0062430,1967
500,Funny Face (1957),2.9734704699466323e-09,USA,tt0050419,1957
501,The Big Knife (1955),2.9731605199690584e-09,USA,tt0047880,1955
502,In a Lonely Place (1950),2.973160519960017e-09,USA,tt0042593,1950
503,The Flight of the Phoenix (1965),2.97309420541314e-09,USA,tt0059183,1965
504,Two Weeks in Another Town (1962),2.973094204544793e-09,USA,tt0056625,1962
505,Tarzan's Three Challenges (1963),2.9730942045357744e-09,USA,tt0057560,1963
506,Beyond the Valley of the Dolls (1970),2.965500568190155e-09,USA,tt0065466,1970
507,Love Story (1970),2.954692938994738e-09,USA,tt9076170,1970
508,The Wreck of the Mary Deare (1959),2.8471683111113522e-09,USA,tt0053455,1959
509,The Man Who Knew Too Much (1956),2.84037933668381e-09,USA,tt0049470,1956
510,The Mysterious Dr. Fu Manchu (1929),2.8103870683530034e-09,USA,tt0020197,1929
511,Pirates of Tortuga (1961),2.810237375635389e-09,USA,tt0055302,1961
512,Deliverance (1972),2.8041046972201993e-09,USA,tt0068473,1972
513,The Thing from Another World (1951),2.796955180161966e-09,USA,tt0044121,1951
514,The Black Swan (1942),2.7894416514918185e-09,USA,tt0034522,1942
515,The Manchurian Candidate (1962),2.780259138060033e-09,USA,tt0056218,1962
516,Moby Dick (1956),2.7614941034472076e-09,USA,tt0049513,1956
517,Halloween (1978),2.7271248820037754e-09,USA,tt0077651,1978
518,Madhouse (1974),2.7049821346062595e-09,USA,tt0071790,1974
519,House of Usher (1960),2.6685090256649296e-09,USA,tt0053925,1960
520,Tales of Terror (1962),2.6684236128711757e-09,USA,tt0056552,1962
521,The Raven (1963),2.6684236119656735e-09,USA,tt0057449,1963
522,Revenge of the Creature (1955),2.5867612357299667e-09,USA,tt0048554,1955
523,Treasure Island (1950),2.586597617974471e-09,USA,tt0043067,1950
524,Gold Diggers of Broadway (1929),2.554969119463757e-09,USA,tt0019936,1929
525,Going My Way (1944),2.522975226662232e-09,USA,tt0036872,1944
526,The Lone Ranger (1938),2.5123527649282277e-09,USA,tt0030382,1938
527,Jaws (1975),2.4742220634611063e-09,USA,tt0073195,1975
528,The Bells of St. Mary's (1945),2.4641740265286085e-09,USA,tt0037536,1945
529,Gold Diggers of 1933 (1933),2.406794322794774e-09,USA,tt0024069,1933
530,The Saint in London (1939),2.3389943193418837e-09,USA,tt0031891,1939
531,Yûsei ôji (1959),2.3128691845168344e-09,Japan,tt0053464,1959
532,The Black Cat (1934),2.300602762697425e-09,USA,tt0024894,1934
533,42nd Street (1933),2.2926468766210194e-09,USA,tt0024034,1933
534,Bakushû (1951),2.243931016866565e-09,Japan,tt0043313,1951
535,The Big Heat (1953),2.2351596994431936e-09,USA,tt0045555,1953
536,Bonnie and Clyde (1967),2.2310416253179966e-09,USA,tt0061418,1967
537,Tôkyô monogatari (1953),2.2240818838094067e-09,Japan,tt0046438,1953
538,The Bravados (1958),2.197971791324662e-09,USA,tt0051433,1958
539,The Godfather (1972),2.1722464530477084e-09,USA,tt0068646,1972
540,The Philadelphia Story (1940),2.1578786660236386e-09,USA,tt0032904,1940
541,At the Circus (1939),2.150887171247105e-09,USA,tt0031060,1939
542,Broadway Melody of 1940 (1940),2.150501203827125e-09,USA,tt0032284,1940
543,Animal Crackers (1930),2.09983844616821e-09,USA,tt0020640,1930
544,Double Indemnity (1944),2.0997518408720037e-09,USA,tt0036775,1944
545,Broadway Melody of 1938 (1937),2.098970951262526e-09,USA,tt0028665,1937
546,Dr. Kildare's Crisis (1940),2.0627455133296313e-09,USA,tt0032415,1940
547,Kaijûtô no kessen: Gojira no musuko (1967),2.037436080369253e-09,Japan,tt0061856,1967
548,Baby Doll (1956),2.00982276662089e-09,USA,tt0048973,1956
549,The Queen (1968),2.009690863618049e-09,USA,tt0063477,1968
550,Lorna (1964),2.009690863618049e-09,USA,tt0058301,1964
551,The Trial of Mary Dugan (1929),2.001553528400626e-09,USA,tt0020516,1929
552,The Good Earth (1937),2.000409048958843e-09,USA,tt0028944,1937
553,The Woman I Love (1937),2.0004090489588425e-09,USA,tt0029790,1937
554,Personal Property (1937),2.0004090489588425e-09,USA,tt0029395,1937
555,Halls of Montezuma (1951),1.9874565428252593e-09,USA,tt0042539,1951
556,Jack Armstrong (1947),1.9856650302172116e-09,USA,tt0039505,1947
557,When Willie Comes Marching Home (1950),1.9856650302172116e-09,USA,tt0043129,1950
558,The Glory Brigade (1953),1.9856650302172116e-09,USA,tt0045827,1953
559,Pink Flamingos (1972),1.9588923604640378e-09,USA,tt0069089,1972
560,Show Boat (1951),1.934347038683092e-09,USA,tt0044030,1951
561,MASH (1970),1.9281977407481322e-09,USA,tt0066026,1970
562,High Noon (1952),1.925287216185485e-09,USA,tt0044706,1952
563,How the West Was Won (1962),1.8773190485748973e-09,USA,tt0056085,1962
564,3:10 to Yuma (1957),1.874841860513834e-09,USA,tt0050086,1957
565,The Big Country (1958),1.8744685732138507e-09,USA,tt0051411,1958
566,Ace in the Hole (1951),1.8743250832102665e-09,USA,tt0043338,1951
567,The Iron Horse (1924),1.8743250823424556e-09,USA,tt0015016,1924
568,Warlock (1959),1.874325082342455e-09,USA,tt0053434,1959
569,The Tall T (1957),1.874325082342455e-09,USA,tt0051047,1957
570,Pursued (1947),1.874325082342455e-09,USA,tt0039737,1947
571,"Ride, Vaquero! (1953)",1.874325082342455e-09,USA,tt0046239,1953
572,The Comancheros (1961),1.874325082342455e-09,USA,tt0054757,1961
573,"Now, Voyager (1942)",1.8601937770286935e-09,USA,tt0035140,1942
574,Rebecca of Sunnybrook Farm (1938),1.85858837536368e-09,USA,tt0030657,1938
575,The Painted Veil (1934),1.8569554458439373e-09,USA,tt0025617,1934
576,Master Minds (1949),1.8516919474081456e-09,USA,tt0041644,1949
577,Border Vigilantes (1941),1.8228338274801644e-09,USA,tt0033425,1941
578,C'era una volta il West (1968),1.8115119279011415e-09,USA,tt0064116,1968
579,Santa Fe Stampede (1938),1.8086631675057004e-09,USA,tt0030714,1938
580,Zoku shachô taiheiki (1959),1.8086631670715522e-09,Japan,tt0314956,1959
581,Otoko wa tsurai yo: Katsushika risshihen (1975),1.8086631670715504e-09,Japan,tt0073497,1975
582,Swedish Erotica 33 (1981),1.80866316707155e-09,USA,tt0224198,1981
583,White Slaves of Chinatown (1964),1.799065325974808e-09,USA,tt0129598,1964
584,Cleopatra Jones (1973),1.789432655401502e-09,USA,tt0069890,1973
585,Flash Gordon's Trip to Mars (1938),1.7820560313165194e-09,USA,tt0030138,1938
586,Call of the Prairie (1936),1.7636595348234341e-09,USA,tt0027415,1936
587,Cotton Comes to Harlem (1970),1.7558355502877433e-09,USA,tt0065579,1970
588,The Big Parade (1925),1.736727949722354e-09,USA,tt0015624,1925
589,The Wild Females (1968),1.7102686913967826e-09,USA,tt0067986,1968
590,My Fair Lady (1964),1.700982636877851e-09,USA,tt0058385,1964
591,The Green Hornet (1940),1.6951883376274062e-09,USA,tt0031394,1940
592,The Legend of Nigger Charley (1972),1.6936367078866375e-09,USA,tt0068838,1972
593,Sugata Sanshirô (1943),1.6912787737436456e-09,Japan,tt0036400,1943
594,Ski Party (1965),1.6640917363337377e-09,USA,tt0059726,1965
595,A Shot in the Dark (1964),1.6520376292806616e-09,USA,tt0058586,1964
596,The Erotic Films of Peter De Rome (1973),1.6508407942046656e-09,USA,tt0217444,1973
597,McCabe & Mrs. Miller (1971),1.6180401242624706e-09,USA,tt0067411,1971
598,"Il buono, il brutto, il cattivo (1966)",1.568497393224683e-09,USA,tt0060196,1966
599,The Sheik (1921),1.5626632331387817e-09,USA,tt0012675,1921
600,Scaramouche (1923),1.5616978404852814e-09,USA,tt0014440,1923
601,Strangers of the Night (1923),1.5616978404852814e-09,USA,tt0014515,1923
602,The Fog (1923),1.5616978404852814e-09,USA,tt0014051,1923
603,Rouged Lips (1923),1.5616978404852814e-09,USA,tt0014418,1923
604,A Wife's Romance (1923),1.5616978404852814e-09,USA,tt0014614,1923
605,Zoku Zatôichi monogatari (1962),1.5560027757644388e-09,Japan,tt0200309,1962
606,Some Like It Hot (1959),1.5475947906864055e-09,USA,tt0053291,1959
607,Our Man Flint (1966),1.5474640107181367e-09,USA,tt0059557,1966
608,Yôjinbô (1961),1.542730449006835e-09,Japan,tt0055630,1961
609,Sherlock Jr. (1924),1.5272766070126642e-09,USA,tt0015324,1924
610,Judge Hardy and Son (1939),1.4982484181475516e-09,USA,tt0031517,1939
611,The Jade Mask (1945),1.4784819706578736e-09,USA,tt0037826,1945
612,Flash Gordon Conquers the Universe (1940),1.4757136248426988e-09,USA,tt0032475,1940
613,The 7th Voyage of Sinbad (1958),1.4754315003764642e-09,USA,tt0051337,1958
614,You Can't Take It with You (1938),1.4715925402579447e-09,USA,tt0030993,1938
615,In Like Flint (1967),1.4659109818189325e-09,USA,tt0061810,1967
616,Chikyû Bôeigun (1957),1.4221340967484752e-09,Japan,tt0050251,1957
617,The Treasure of the Sierra Madre (1948),1.420663259671884e-09,USA,tt0040897,1948
618,Blackboard Jungle (1955),1.4125616970694468e-09,USA,tt0047885,1955
619,South Pacific (1958),1.403143885168467e-09,USA,tt0052225,1958
620,Dementia 13 (1963),1.4027874474099284e-09,USA,tt0056983,1963
621,The Seven Year Itch (1955),1.4003457056464853e-09,USA,tt0048605,1955
622,The Palm Beach Story (1942),1.3949361626653116e-09,USA,tt0035169,1942
623,The Big Combo (1955),1.3947036793995513e-09,USA,tt0047878,1955
624,Monkey Business (1952),1.3938241008933564e-09,USA,tt0044916,1952
625,Kakushi-toride no san-akunin (1958),1.3454715950780272e-09,Japan,tt0051808,1958
626,Xia nü (1971),1.333716292334823e-09,"Hong Kong,Taiwan",tt0064451,1971
627,Five Easy Pieces (1970),1.333698580279824e-09,USA,tt0065724,1970
628,One of Our Dinosaurs Is Missing (1975),1.3336985714081117e-09,USA,tt0075016,1975
629,Kairyu daikessen (1966),1.3336985714081117e-09,Japan,tt0060579,1966
630,Dersu Uzala (1975),1.3336985714081117e-09,Japan,tt0071411,1975
631,633 Squadron (1964),1.3336985714081117e-09,USA,tt0057811,1964
